HCPR Name,Version,Object Status,Content Release,Content Timestamp,Owner,BW Application,InfoArea,Last Changed ,Last Changed Time,Last Changed By Date,Created By ,Created Timestampp,Created Date
ZVIKAS,A,ACT,,0,,,ZSALES,BEST,"2,02,50,31,81,23,021",20250318,BEST,"2,02,50,31,81,22,141",20250318
ZVIKAS,M,ACT,,0,,,ZSALES,BEST,"2,02,50,31,81,23,020",20250318,BEST,"2,02,50,31,81,22,141",20250318
ZTEST2,M,INA,,0,,,Z_NAVEENREDDY,BEST,"2,02,50,32,12,23,552",20250321,BEST,"2,02,50,32,12,23,552",20250321
ZTEST_1,M,INA,,0,,,Z_NAVEENREDDY,BEST,"2,02,50,32,12,23,530",20250321,BEST,"2,02,50,32,12,23,530",20250321
ZQCPN_CND,A,ACT,,0,,,ZN_US_CANDY,BEST,"2,02,50,73,11,54,539",20250731,BEST,"2,02,50,73,11,45,658",20250731
ZQCPN_CND,M,ACT,,0,,,ZN_US_CANDY,BEST,"2,02,50,73,11,54,537",20250731,BEST,"2,02,50,73,11,45,658",20250731
ZPUPPY,A,ACT,,0,,,RICHA,BEST,"2,02,50,22,51,54,953",20250225,BEST,"2,02,50,22,51,53,427",20250225
ZPUPPY,M,ACT,,0,,,RICHA,BEST,"2,02,50,22,51,53,531",20250225,BEST,"2,02,50,22,51,53,427",20250225
ZOHCM,M,INA,,0,,,0HCM,BEST,"2,02,50,51,21,70,118",20250512,BEST,"2,02,50,51,21,70,118",20250512
ZN_TASK2,A,ACT,,0,,,ZNIRAV,BEST,"2,02,50,31,32,22,106",20250313,BEST,"2,02,50,22,61,04,714",20250226
ZN_TASK2,M,ACT,,0,,,ZNIRAV,BEST,"2,02,50,31,32,22,104",20250313,BEST,"2,02,50,22,61,04,714",20250226
ZN_NIRAV,A,ACT,,0,,,ZNIRAV,BEST,"2,02,50,22,51,22,034",20250225,BEST,"2,02,50,22,51,22,012",20250225
ZN_NIRAV,M,ACT,,0,,,ZNIRAV,BEST,"2,02,50,22,51,22,033",20250225,BEST,"2,02,50,22,51,22,012",20250225
ZMAT_CP,A,ACT,,0,,,ZMAT_V,BEST,"2,02,50,31,60,03,718",20250316,BEST,"2,02,50,31,60,03,647",20250316
ZMAT_CP,M,ACT,,0,,,ZMAT_V,BEST,"2,02,50,31,60,03,717",20250316,BEST,"2,02,50,31,60,03,647",20250316
ZMAH,A,ACT,,0,,,RICHA,BEST,"2,02,50,22,61,13,337",20250226,BEST,"2,02,50,22,61,13,307",20250226
ZMAH,M,ACT,,0,,,RICHA,BEST,"2,02,50,22,61,13,336",20250226,BEST,"2,02,50,22,61,13,307",20250226
ZM_MULTI,A,ACT,,0,,,RICHA,BEST,"2,02,50,30,41,80,441",20250304,BEST,"2,02,50,30,41,75,608",20250304
ZM_MULTI,M,ACT,,0,,,RICHA,BEST,"2,02,50,30,41,80,440",20250304,BEST,"2,02,50,30,41,75,608",20250304
ZM_CANSAL,A,ACT,,0,,,RICHA,BEST,"2,02,50,30,51,15,522",20250305,BEST,"2,02,50,30,51,11,258",20250305
ZM_CANSAL,M,ACT,,0,,,RICHA,BEST,"2,02,50,30,51,15,520",20250305,BEST,"2,02,50,30,51,11,258",20250305
ZI_INDCUC,A,ACT,,0,,,RICHA,BEST,"2,02,50,31,01,14,155",20250310,BEST,"2,02,50,31,01,14,120",20250310
ZI_INDCUC,M,ACT,,0,,,RICHA,BEST,"2,02,50,31,01,14,154",20250310,BEST,"2,02,50,31,01,14,120",20250310
ZI_COM,A,ACT,,0,,,RICHA,BEST,"2,02,50,31,11,15,214",20250311,BEST,"2,02,50,31,11,13,310",20250311
ZI_COM,M,ACT,,0,,,RICHA,BEST,"2,02,50,31,11,15,213",20250311,BEST,"2,02,50,31,11,13,310",20250311
ZG_TESTCP,A,ACT,,0,,,ZNIRAV1,BEST,"2,02,50,32,51,61,238",20250325,BEST,"2,02,50,30,61,04,000",20250306
ZG_TESTCP,M,ACT,,0,,,ZNIRAV1,BEST,"2,02,50,32,51,62,112",20250325,BEST,"2,02,50,30,61,04,000",20250306
ZG_TEST,A,ACT,,0,,,ZNIRAV1,BEST,"2,02,50,30,51,11,451",20250305,BEST,"2,02,50,30,50,93,430",20250305
ZG_TEST,M,ACT,,0,,,ZNIRAV1,BEST,"2,02,50,30,51,04,518",20250305,BEST,"2,02,50,30,50,93,430",20250305
ZG_GER,A,ACT,,0,,,ZNIRAV1,BEST,"2,02,50,32,51,02,518",20250325,BEST,"2,02,50,30,41,63,338",20250304
ZG_GER,M,ACT,,0,,,ZNIRAV1,BEST,"2,02,50,32,51,02,516",20250325,BEST,"2,02,50,30,41,63,338",20250304
ZD_PRVDR,A,INA,,0,,,ZD_JANVI,BEST,"2,02,50,82,61,22,639",20250826,BEST,"2,02,50,80,61,45,423",20250806
ZD_PRVDR,M,INA,,0,,,ZD_JANVI,BEST,"2,02,50,80,61,55,114",20250806,BEST,"2,02,50,80,61,45,423",20250806
ZCPN_UNITC,A,ACT,,0,,,ZN_PLAN,BEST,"2,02,50,82,01,45,927",20250820,BEST,"2,02,50,80,81,60,632",20250808
ZCPN_UNITC,M,ACT,,0,,,ZN_PLAN,BEST,"2,02,50,82,01,45,927",20250820,BEST,"2,02,50,80,81,60,632",20250808
ZCPN_UCG2K,A,ACT,,0,,,Z_1UNIT,BEST,"2,02,50,80,81,80,916",20250808,BEST,"2,02,50,80,81,80,533",20250808
ZCPN_UCG2K,M,ACT,,0,,,Z_1UNIT,BEST,"2,02,50,80,81,80,915",20250808,BEST,"2,02,50,80,81,80,533",20250808
ZCPN_UCFRST,A,INA,,0,,,ZN_PLAN,BEST,"2,02,50,80,81,50,402",20250808,BEST,"2,02,50,80,71,72,907",20250807
ZCPN_UCFRST,M,INA,,0,,,ZN_PLAN,BEST,"2,02,50,80,81,12,446",20250808,BEST,"2,02,50,80,71,72,907",20250807
ZCPN_RVTOYS,A,ACT,,0,,,ZN_PLAN,BEST,"2,02,50,80,71,04,827",20250807,BEST,"2,02,50,80,71,04,742",20250807
ZCPN_RVTOYS,M,ACT,,0,,,ZN_PLAN,BEST,"2,02,50,80,71,04,825",20250807,BEST,"2,02,50,80,71,04,742",20250807
ZCPN_RPTOYS,A,ACT,,0,,,ZN_PLAN,BEST,"2,02,50,80,61,81,731",20250806,BEST,"2,02,50,80,61,81,642",20250806
ZCPN_RPTOYS,M,ACT,,0,,,ZN_PLAN,BEST,"2,02,50,80,61,81,730",20250806,BEST,"2,02,50,80,61,81,642",20250806
ZCPN_PRDT,A,ACT,,0,,,ZN_PLAN,BEST,"2,02,50,80,71,54,913",20250807,BEST,"2,02,50,80,71,54,850",20250807
ZCPN_PRDT,M,ACT,,0,,,ZN_PLAN,BEST,"2,02,50,80,71,54,912",20250807,BEST,"2,02,50,80,71,54,850",20250807
ZCPN_GCTOYS,A,ACT,,0,,,ZN_PLAN,BEST,"2,02,50,80,71,20,951",20250807,BEST,"2,02,50,80,71,20,839",20250807
ZCPN_GCTOYS,M,ACT,,0,,,ZN_PLAN,BEST,"2,02,50,80,71,20,950",20250807,BEST,"2,02,50,80,71,20,839",20250807
ZCPN_G2K,A,ACT,,0,,,Z_1UNIT,BEST,"2,02,50,80,81,64,356",20250808,BEST,"2,02,50,80,81,64,338",20250808
ZCPN_G2K,M,ACT,,0,,,Z_1UNIT,BEST,"2,02,50,80,81,64,355",20250808,BEST,"2,02,50,80,81,64,338",20250808
ZCPN_FTOYS,A,ACT,,0,,,ZN_PLAN,BEST,"2,02,50,80,61,70,329",20250806,BEST,"2,02,50,80,61,70,249",20250806
ZCPN_FTOYS,M,ACT,,0,,,ZN_PLAN,BEST,"2,02,50,80,61,70,327",20250806,BEST,"2,02,50,80,61,70,249",20250806
ZCPN_FCTOYS,A,INA,,0,,,ZN_PLAN,BEST,"2,02,50,82,61,40,227",20250826,BEST,"2,02,50,81,11,40,153",20250811
ZCPN_FCTOYS,M,INA,,0,,,ZN_PLAN,BEST,"2,02,50,81,11,40,233",20250811,BEST,"2,02,50,81,11,40,153",20250811
ZCPN_DTOYS,A,ACT,,0,,,ZN_PLAN,BEST,"2,02,50,80,61,75,040",20250806,BEST,"2,02,50,80,61,74,952",20250806
ZCPN_DTOYS,M,ACT,,0,,,ZN_PLAN,BEST,"2,02,50,80,61,75,039",20250806,BEST,"2,02,50,80,61,74,952",20250806
ZCPN_DRTOYS,A,ACT,,0,,,ZN_PLAN,BEST,"2,02,50,80,71,23,328",20250807,BEST,"2,02,50,80,71,23,251",20250807
ZCPN_DRTOYS,M,ACT,,0,,,ZN_PLAN,BEST,"2,02,50,80,71,23,327",20250807,BEST,"2,02,50,80,71,23,251",20250807
ZCPN_DKTOYS,A,ACT,,0,,,ZN_PLAN,BEST,"2,02,50,80,71,45,508",20250807,BEST,"2,02,50,80,71,45,421",20250807
ZCPN_DKTOYS,M,ACT,,0,,,ZN_PLAN,BEST,"2,02,50,80,71,45,506",20250807,BEST,"2,02,50,80,71,45,421",20250807
ZCPN_DEC,A,ACT,,0,,,ZN_PLAN,BEST,"2,02,50,82,11,05,824",20250821,BEST,"2,02,50,82,11,05,738",20250821
ZCPN_DEC,M,ACT,,0,,,ZN_PLAN,BEST,"2,02,50,82,11,05,823",20250821,BEST,"2,02,50,82,11,05,738",20250821
ZCPN_CURR,A,INA,,0,,,ZN_PLAN,BEST,"2,02,50,81,11,05,930",20250811,BEST,"2,02,50,81,11,05,546",20250811
ZCPN_CURR,M,INA,,0,,,ZN_PLAN,BEST,"2,02,50,81,11,05,644",20250811,BEST,"2,02,50,81,11,05,546",20250811
ZCPN_CTOYS,A,ACT,,0,,,ZN_PLAN,BEST,"2,02,50,80,61,61,752",20250806,BEST,"2,02,50,80,61,42,439",20250806
ZCPN_CTOYS,M,ACT,,0,,,ZN_PLAN,BEST,"2,02,50,80,61,61,751",20250806,BEST,"2,02,50,80,61,42,439",20250806
ZCPN_CNDY,A,ACT,,0,,,ZN_US_CANDY,BEST,"2,02,50,73,11,21,852",20250731,BEST,"2,02,50,73,10,92,228",20250731
ZCPN_CNDY,M,ACT,,0,,,ZN_US_CANDY,BEST,"2,02,50,73,11,21,850",20250731,BEST,"2,02,50,73,10,92,228",20250731
ZCP_YEAR,A,ACT,,0,,,ZN_US_CANDY,BEST,"2,02,50,80,11,62,648",20250801,BEST,"2,02,50,80,11,60,655",20250801
ZCP_YEAR,M,ACT,,0,,,ZN_US_CANDY,BEST,"2,02,50,80,11,62,645",20250801,BEST,"2,02,50,80,11,60,655",20250801
ZCOMP002,M,INA,,0,,,Z_RANDN,BEST,"2,02,50,81,80,63,705",20250818,BEST,"2,02,50,81,80,63,615",20250818
ZCOMP001,M,INA,,0,,,Z_RANDN,BEST,"2,02,50,81,81,02,811",20250818,BEST,"2,02,50,81,80,63,202",20250818
ZCANCOM,A,ACT,,0,,,RICHA,BEST,"2,02,50,22,81,21,454",20250228,BEST,"2,02,50,22,81,21,426",20250228
ZCANCOM,M,ACT,,0,,,RICHA,BEST,"2,02,50,22,81,21,451",20250228,BEST,"2,02,50,22,81,21,426",20250228
ZAK_CP,A,ACT,,0,,,IA_ARUN,BEST,"2,02,50,82,81,22,634",20250828,BEST,"2,02,50,82,81,22,540",20250828
ZAK_CP,M,ACT,,0,,,IA_ARUN,BEST,"2,02,50,82,81,22,634",20250828,BEST,"2,02,50,82,81,22,540",20250828
Z_VANGICP,M,INA,,0,,,Z_VANGI75,BEST,"2,02,50,51,62,20,832",20250516,BEST,"2,02,50,51,62,20,347",20250516
Z_GER,A,ACT,,0,,,Z_DOC,BEST,"2,02,50,42,41,63,640",20250424,BEST,"2,02,50,41,81,12,313",20250418
Z_GER,M,ACT,,0,,,Z_DOC,BEST,"2,02,50,42,41,63,638",20250424,BEST,"2,02,50,41,81,12,313",20250418
YMATCP1,A,ACT,,0,,,KALYAN,BEST,"2,02,50,32,92,01,012",20250329,BEST,"2,02,50,32,92,00,809",20250329
YMATCP1,M,ACT,,0,,,KALYAN,BEST,"2,02,50,32,92,00,920",20250329,BEST,"2,02,50,32,92,00,809",20250329
YMATCP,M,INA,,0,,,KALYAN,BEST,"2,02,50,32,92,00,447",20250329,BEST,"2,02,50,32,92,00,421",20250329
PTSTCOMUN,A,ACT,,0,,,PRAVEERA,BEST,"2,02,50,62,31,10,928",20250623,BEST,"2,02,50,62,31,10,257",20250623
PTSTCOMUN,M,ACT,,0,,,PRAVEERA,BEST,"2,02,50,62,31,10,757",20250623,BEST,"2,02,50,62,31,10,257",20250623
PTSTCOMJN,M,INA,,0,,,PRAVEERA,BEST,"2,02,50,62,31,12,929",20250623,BEST,"2,02,50,62,31,11,104",20250623
N4COCP06A,A,ACT,,0,,,NISHA,BEST,"2,02,50,41,40,85,753",20250414,BEST,"2,02,50,41,02,14,129",20250410
N4COCP06A,M,ACT,,0,,,NISHA,BEST,"2,02,50,41,40,85,750",20250414,BEST,"2,02,50,41,02,14,129",20250410
MTSTCPU,A,ACT,,0,,,SANGUINFOAREA,BEST,"2,02,50,90,81,44,945",20250908,BEST,"2,02,50,90,81,44,831",20250908
MTSTCPU,M,ACT,,0,,,SANGUINFOAREA,BEST,"2,02,50,90,81,44,941",20250908,BEST,"2,02,50,90,81,44,831",20250908
MTSTCPJ,A,ACT,,0,,,SANGUINFOAREA,BEST,"2,02,50,90,81,45,213",20250908,BEST,"2,02,50,90,81,45,030",20250908
MTSTCPJ,M,ACT,,0,,,SANGUINFOAREA,BEST,"2,02,50,90,81,45,212",20250908,BEST,"2,02,50,90,81,45,030",20250908
LTSTCUN,A,ACT,,0,,,LINCY_INFOAREA,BEST,"2,02,50,50,61,20,914",20250506,BEST,"2,02,50,50,61,20,623",20250506
LTSTCUN,M,ACT,,0,,,LINCY_INFOAREA,BEST,"2,02,50,50,61,20,912",20250506,BEST,"2,02,50,50,61,20,623",20250506
LTSTCPJN,A,ACT,,0,,,LINCY_INFOAREA,BEST,"2,02,50,50,61,22,021",20250506,BEST,"2,02,50,42,91,62,639",20250429
LTSTCPJN,M,ACT,,0,,,LINCY_INFOAREA,BEST,"2,02,50,50,61,22,020",20250506,BEST,"2,02,50,42,91,62,639",20250429
CZD_PRVDR,A,ACT,,0,,,ZD_JANVI,BEST,"2,02,50,82,61,24,227",20250826,BEST,"2,02,50,80,61,55,021",20250806
CZD_PRVDR,M,ACT,,0,,,ZD_JANVI,BEST,"2,02,50,82,61,24,225",20250826,BEST,"2,02,50,80,61,55,021",20250806
BHYT,M,INA,,0,,,ZNIRAV,BEST,"2,02,50,31,32,22,225",20250313,BEST,"2,02,50,31,32,22,225",20250313
0EPM_CP_SO,D,INA,7.5/10,"2,01,60,50,31,10,514",SAP,,0EPM_ADSOS,SAP,"2,01,60,50,31,10,515",20160503,SAP,"2,01,50,90,81,14,421",20150908
0EPM_CP_PO,D,INA,7.5/10,"2,01,60,50,31,10,401",SAP,,0EPM_ADSOS,SAP,"2,01,60,50,31,10,402",20160503,SAP,"2,01,50,91,60,63,949",20150916
/IMO/V_WBS02,D,INA,757,"2,01,60,20,90,83,306",SAP,,/IMO/WBS_V,SAP,"2,01,60,20,90,83,307",20160209,SAP,"2,01,50,61,60,95,500",20150616
/IMO/V_WBS01,D,INA,757,"2,01,60,61,01,52,228",SAP,,/IMO/WBS_V,SAP,"2,01,60,61,01,52,229",20160610,SAP,"2,01,50,61,60,93,401",20150616
/IMO/V_UCSA01,D,INA,757,"2,01,60,53,11,35,307",SAP,,/IMO/IS_UCSA_V,SAP,"2,01,60,53,11,35,308",20160531,SAP,"2,01,60,41,11,40,004",20160411
/IMO/V_UCIO02,D,INA,757,"2,01,60,72,81,35,514",SAP,,/IMO/IS_UCIO_V,SAP,"2,01,60,72,81,35,516",20160728,SAP,"2,01,60,62,00,81,215",20160620
/IMO/V_UCIO01,D,INA,757,"2,01,60,72,81,35,459",SAP,,/IMO/IS_UCIO_V,SAP,"2,01,60,72,81,35,504",20160728,SAP,"2,01,60,62,00,92,432",20160620
/IMO/V_UCDM03,D,INA,757,"2,01,60,72,81,40,715",SAP,,/IMO/IS_UCDM_V,SAP,"2,01,60,72,81,40,717",20160728,SAP,"2,01,60,52,30,73,657",20160523
/IMO/V_UCDM02,D,INA,757,"2,01,60,72,81,40,647",SAP,,/IMO/IS_UCDM_V,SAP,"2,01,60,72,81,40,649",20160728,SAP,"2,01,60,52,01,35,325",20160520
/IMO/V_UCDM01,D,INA,757,"2,01,60,72,81,40,623",SAP,,/IMO/IS_UCDM_V,SAP,"2,01,60,72,81,40,624",20160728,SAP,"2,01,60,51,31,35,945",20160513
/IMO/V_SD51,D,INA,757,"2,01,50,72,81,11,607",SAP,,/IMO/SDDLV_V,SAP,"2,01,50,72,81,11,608",20150728,SAP,"2,01,41,21,51,30,906",20141215
/IMO/V_SD50,D,INA,757,"2,01,50,72,81,11,402",SAP,,/IMO/SDDLV_V,SAP,"2,01,50,72,81,11,403",20150728,SAP,"2,01,41,21,51,43,516",20141215
/IMO/V_SD40,D,INA,757,"2,01,50,71,30,80,706",SAP,,/IMO/SD_V,SAP,"2,01,50,71,30,80,707",20150713,SAP,"2,01,41,21,71,25,941",20141217
/IMO/V_SD30,D,INA,757,"2,01,60,42,61,14,637",SAP,,/IMO/SD_V,SAP,"2,01,60,42,61,14,638",20160426,SAP,"2,01,41,21,71,22,509",20141217
/IMO/V_SD20,D,INA,757,"2,01,60,42,61,14,614",SAP,,/IMO/SD_V,SAP,"2,01,60,42,61,14,615",20160426,SAP,"2,01,41,21,71,32,202",20141217
/IMO/V_SD10,D,INA,757,"2,01,60,42,61,14,551",SAP,,/IMO/SD_V,SAP,"2,01,60,42,61,14,553",20160426,SAP,"2,01,41,21,81,04,129",20141218
/IMO/V_PUR04,D,INA,757,"2,01,50,71,30,83,127",SAP,,/IMO/MMPUR_V,SAP,"2,01,50,71,30,83,128",20150713,SAP,"2,01,41,21,61,23,851",20141216
/IMO/V_PUR03,D,INA,757,"2,01,50,71,30,82,945",SAP,,/IMO/MMPUR_V,SAP,"2,01,50,71,30,82,946",20150713,SAP,"2,01,41,21,61,22,004",20141216
/IMO/V_PUR02,D,INA,757,"2,01,50,71,30,82,802",SAP,,/IMO/MMPUR_V,SAP,"2,01,50,71,30,82,803",20150713,SAP,"2,01,41,21,61,20,727",20141216
/IMO/V_PUR01,D,INA,757,"2,01,50,71,30,82,432",SAP,,/IMO/MMPUR_V,SAP,"2,01,50,71,30,82,433",20150713,SAP,"2,01,41,21,60,95,401",20141216
/IMO/V_PCA01,D,INA,757,"2,01,50,71,31,12,647",SAP,,/IMO/ECPCA_V,SAP,"2,01,50,71,31,12,648",20150713,SAP,"2,01,41,21,21,43,255",20141212
/IMO/V_OPA02,D,INA,757,"2,01,60,20,90,82,739",SAP,,/IMO/OPA_V,SAP,"2,01,60,20,90,82,740",20160209,SAP,"2,01,50,62,41,15,401",20150624
/IMO/V_OPA01,D,INA,757,"2,01,60,61,01,52,159",SAP,,/IMO/OPA_V,SAP,"2,01,60,61,01,52,201",20160610,SAP,"2,01,50,61,60,80,822",20150616
/IMO/V_MMIV01,D,INA,757,"2,01,50,71,30,83,348",SAP,,/IMO/MMIV_V,SAP,"2,01,50,71,30,83,349",20150713,SAP,"2,01,41,21,60,83,026",20141216
/IMO/V_MMIM01,D,INA,757,"2,01,50,72,81,04,805",SAP,,/IMO/MMIM_V,SAP,"2,01,50,72,81,04,806",20150728,SAP,"2,01,50,40,70,93,921",20150407
/IMO/V_FIGL02,D,INA,757,"2,01,50,72,31,14,944",SAP,,/IMO/FIGL_V,SAP,"2,01,50,72,31,14,945",20150723,SAP,"2,01,41,20,81,24,100",20141208
/IMO/V_FIGL01,D,INA,757,"2,01,50,71,31,11,541",SAP,,/IMO/FIGL_V,SAP,"2,01,50,71,31,11,542",20150713,SAP,"2,01,41,20,80,95,232",20141208
/IMO/V_FICA09,D,INA,757,"2,01,60,72,01,02,552",SAP,,/IMO/FICA_V,SAP,"2,01,60,72,01,02,619",20160720,SAP,"2,01,60,72,00,93,502",20160720
/IMO/V_FICA07,D,INA,757,"2,01,60,62,90,83,405",SAP,,/IMO/FICA_V,SAP,"2,01,60,62,90,83,410",20160629,SAP,"2,01,60,52,51,03,129",20160525
/IMO/V_FICA06,D,INA,757,"2,01,60,72,00,83,502",SAP,,/IMO/FICA_V,SAP,"2,01,60,72,00,83,503",20160720,SAP,"2,01,60,52,41,22,947",20160524
/IMO/V_FICA05,D,INA,757,"2,01,60,62,90,90,306",SAP,,/IMO/FICA_V,SAP,"2,01,60,62,90,90,307",20160629,SAP,"2,01,60,50,30,74,606",20160503
/IMO/V_FICA04,D,INA,757,"2,01,60,72,00,90,905",SAP,,/IMO/FICA_V,SAP,"2,01,60,72,00,90,906",20160720,SAP,"2,01,60,52,01,21,627",20160520
/IMO/V_FICA01,D,INA,757,"2,01,60,61,01,32,633",SAP,,/IMO/FICA_V,SAP,"2,01,60,61,01,32,633",20160610,SAP,"2,01,60,42,81,30,505",20160428
/IMO/V_FIAR03,D,INA,757,"2,01,50,71,31,05,957",SAP,,/IMO/FIAR_V,SAP,"2,01,50,71,31,05,958",20150713,SAP,"2,01,41,22,31,01,459",20141223
/IMO/V_FIAR02,D,INA,757,"2,01,50,72,81,04,939",SAP,,/IMO/FIAR_V,SAP,"2,01,50,72,81,04,941",20150728,SAP,"2,01,41,22,31,10,358",20141223
/IMO/V_FIAR01,D,INA,757,"2,01,50,72,81,04,649",SAP,,/IMO/FIAR_V,SAP,"2,01,50,72,81,04,651",20150728,SAP,"2,01,41,22,31,33,939",20141223
/IMO/V_FIAP01,D,INA,757,"2,01,50,71,31,05,701",SAP,,/IMO/FIAP_V,SAP,"2,01,50,71,31,05,702",20150713,SAP,"2,01,41,20,81,41,728",20141208
/IMO/V_FIAA01,D,INA,757,"2,01,50,71,31,05,002",SAP,,/IMO/FIAA_V,SAP,"2,01,50,71,31,05,003",20150713,SAP,"2,01,41,20,91,53,959",20141209
/IMO/V_COOM01,D,INA,757,"2,01,60,61,01,52,248",SAP,,/IMO/COOM,SAP,"2,01,60,61,01,52,300",20160610,SAP,"2,01,50,70,11,50,711",20150701
/IMO/V_CCA02,D,INA,757,"2,01,60,20,90,83,240",SAP,,/IMO/CCA_V,SAP,"2,01,60,20,90,83,241",20160209,SAP,"2,01,50,61,51,43,911",20150615
/IMO/V_CCA01,D,INA,757,"2,01,60,61,01,52,131",SAP,,/IMO/CCA_V,SAP,"2,01,60,61,01,52,132",20160610,SAP,"2,01,50,61,11,13,838",20150611
